뜻,단어,품사
경청하다,listen,NN
작은,little,JJ
살다,live,JJ
거실,livingroom,NN
"(길이,시간 등)긴",long,RB
보다,look,NN
사랑,love,NN
낮은,low,JJ
운,luck,NN
점심,lunch,NN
미친,mad,NN
우편물,mail,NN
만들다,make,VB
남자,man,NN
많은,many,JJ
지도,map,NN
결혼하다,marry,NN
수학,mathematics,NNS
"5월  청춘, 인생의 봄  산사나무, 아가위나무",may,MD
(식용짐승의)고기,meat,NN
-을 만나다,meet,NN
기억,memory,NN
한복판의,middle,NN
힘,might,MD
젖,milk,NN
마음,mind,NN
거울,mirror,NN
미혼 여성 실수하다,miss,NN
금전,money,NN
원숭이,monkey,NN
월,month,NN
달,moon,NN
아침,morning,NN
어머니,mother,NN
산,mountain,NN
새앙쥐,mouse,NN
입,mouth,NN
움직이다,move,NN
영화,movie,NN
많은,much,JJ
박물관,museum,NN
음악,music,NN
-해야 한다,must,MD
이름,name,NN
국가,nation,NN
자연,nature,NN
가까이 -의 가까이에 가까운 접근하다,near,IN
목,neck,NN
필요,need,NN
결코 -아니다,never,RB
새로운,new,JJ
신문,newspaper,NN
다음의,next,JJ
니스(프랑스 남부의 항구도시),nice,JJ
밤,night,NN
무의,no,DT
정오,noon,NN
"북, 북 쪽, 북부",north,NN
코,nose,RB
아니다,not,RB
기록,note,NN
아무것도 …없다,nothing,NN
지금,now,RB
수,number,NN
유모,nurse,NN
대양,ocean,NN
출신의,of,IN
떨어져,off,IN
임무,office,NN
자주,often,RB
기름,oil,NN
늙은,old,JJ
위에,on,IN
하나(의),one,CD
유일한,only,RB
열다,open,JJ
혹은,or,CC
밖으로,out,IN
위쪽,over,IN
도료,paint,NN
궁전,palace,NN
바지,pants,NNS
종이,paper,NN
어버이,parent,NN
공원,park,NN
부분,part,NN
지나가다,pass,NN
지불하다,pay,NN
평화,peace,NN
서양배,pear,NN
연필 연필로 쓰다,pencil,NN
사람들,people,NNS
따다,pick,NN
소풍,picnic,NN
그림,picture,NN
돼지,pig,NN
연분홍색,pink,NN
장소,place,NN
계획,plan,NN
놀다,play,NN
기쁘게 하다,please,NN
오후,P.M.,NN
포켓,pocket,NN
점,point,NN
경찰 경비하다,police,NNS
"가난한 부족한, 불충분한, 빈약한",poor,JJ
감자,potato,NN
힘,power,NN
"있는, 존재하는",present,NN
"예쁜, 귀여운, 참 한, 조촐한",pretty,RB
"왕자, 태자, 세자, 대군",prince,NN
"인쇄하다, 프린트하다",print,NN
"상, 포상, 우등상, 선행상",prize,NN
문제,problem,NN
강아지,puppy,JJ
"밀다, 밀치다, 밀어서 움직 이다, 밀어 내다",push,NN
"놓다, 두다",put,NN
"당황, 혼란 괴롭히는 사람,  어려운 문제",puzzle,NN
여왕,queen,NN
"물음, 질문, 질의",question,NN
빠른,quick,NN
조용한,quiet,JJ
집토끼,rabbit,NN
인종,race,NN
비,rain,NN
무지개,rainbow,NN
읽다,read,NN
준비가 된,ready,JJ
붉은,red,JJ
기억하고 있다,remember,VB
요리점,restaurant,NN
화장실,restroom,NN
돌아가다,return,NN
부자인,rich,JJ
올바른,right,NN
고리,ring,NN
강,river,NN
길,road,NN
바위,rock,NN
지붕,roof,NN
방,room,NN
달리다,run,VB
슬픈,sad,NN
안전한,safe,JJ
판매,sale,NN
소금,salt,NN
같은,same,JJ
모래사장,sand,NN
위험에서 구하다,save,VB
말하다,say,VB
학교,school,NN
과학,science,NN
가위,scissors,NNS
득점,score,NN
바다,sea,NN
계절,season,NN
보다,see,VB
팔다,sell,NN
보내다,send,NN
그녀는,she,PRP
배,ship,NN
격돌,shock,NN
구두,shoe,NN
상점,shop,NN
짧은,short,JJ
aushall의 과거,should,MD
보이다,show,NN
수줍은,shy,NN
병난,sick,NN
쪽,side,NN
노래하다,sing,VBG
여자형제,sister,NN
앉다,sit,NN
크기,size,NN
피부,skin,NN
스커어트,skirt,NN
하늘,sky,NN
잠자다,sleep,NN
느린,slow,VB
작은 작은 부분 적게,small,JJ
재치있는,smart,NN
냄새,smell,NN
미소짓다 미소,smile,NN
눈 눈이 내리다,snow,NN
그와 같이,so,RB
축구,soccer,NN
짧은 양말,sock,NN
부드러운,soft,JJ
얼만가의,some,DT
아들,son,NN
노래,song,NN
가엾은,sorry,NN
소리,sound,NN
시큼한 시어지다 시큼한 것,sour,NN
남쪽 남쪽의 남으로,south,NN
공간,space,NN
이야기하다,speak,NN
속도,speed,NN
숟가락,spoon,NN
서다,stand,NN
시작하다,start,NN
머무르다,stay,NN
돌,stone,NN
멈추다,stop,NN
가게,store,NN
층,story,NN
딸기,strawberry,NN
거리,street,NN
압박,stress,NN
강한,strong,JJ
학생,student,NN
학문,study,NN
지하도,subway,NN
설탕,sugar,NN
태양,sun,NN
저녁식사,supper,NN
헤엄치다,swim,NN
테이블,table,NN
꼬리,tail,NN
잡다,take,VB
말하다,talk,NN
키큰,tall,NN
테이프,tape,NN
맛,taste,NN
가르치다,teach,NN
슬픔,teen,NN
전화,telephone,NN
말하다,tell,NN
시험,test,NN
교과서,textbook,NN
-보다도,than,IN
감사하다 감사,thank,NN
저,that,IN
art.저,the,DT
거기에,there,RB
그들,they,PRP
물건,thing,NN
생각하다,think,NN
갈증,thirst,NN
이,this,DT
호랑이,tiger,NN
때,time,NN
-로,to,TO
오늘은,today,NN
같이,together,RB
내일(은),tomorrow,NN
오늘밤에 오늘밤,tonight,NN
(-도)또한,too,RB
이,tooth,NN
정상,top,NN
닿다,touch,NN
일주,tour,NN
탑,tower,NN
읍,town,NN
장난감 장난하다,toy,NN
기차,train,NN
여행하다,travel,NN
나무,tree,NN
각형,triangle,NN
여행,trip,NN
진실,true,JJ
시험해보다,try,NN
돌리다,turn,NN
두 번,twice,RB
형,type,NN
추한,ugly,RB
우산,umbrella,NN
아저씨,uncle,NN
-아래에,under,IN
이해하다,understand,NN
위로,up,RB
쓰다,use,NN
"식물  야채, 푸성귀, 남새, 채소",vegetable,NN
매우,very,RB
"방문하다, …의 손님으로 묵다",visit,NN
"목소리, 음성, 음성",voice,NN
기다리다,wait,NN
잠깨다,wake,NN
걷다,walk,NN
벽,wall,NN
결핍,want,NN
전쟁,war,NN
따뜻한,warm,NN
씻다,wash,NN
손목시계,watch,NN
물,water,NN
수박,watermelon,NN
길,way,NN
우리가,we,PRP
입다,wear,NN
날씨,weather,NN
혼례,wedding,NN
주,week,NN
주말 주말의 주말을 지내다,weekend,NN
무게,weight,NN
환영 환영받는,welcome,NN
잘,well,RB
서쪽,west,NN
축축한,wet,NN
무엇 무슨,what,WP
언제,when,WRB
어디에 (-하는)곳에 pr.어디 (문제의)장소,where,WRB
흰,white,JJ
누구,who,WP
왜,why,WRB
아내,wife,NN
의지,will,MD
이기다,win,NN
바람,wind,NN
창,window,NN
바라다,wish,NN
함께,with,IN
부인,woman,NN
숲,wood,NN
낱말,word,NN
일,work,NN
세계,world,NN
근심하다,worry,NN
쓰다,write,NN
나쁜,wrong,JJ
연,year,NN
황색의 황색,yellow,NN
예,yes,NNS
어제,yesterday,NN
당신,you,PRP
젊은,young,JJ
얼룩말,zebra,NN
동물원,zoo,NN
