뜻,단어,품사
동굴 굴을 파다 꺼지다,cave,NN
그만두다 그치다 중지,cease,NN
천장,ceiling,NN
경축하다,celebrate,NN
명성,celebrity,NN
작은 방,cell,NN
검열관,censor,NN
1세기,century,NN
증명서,certificate,NN
의장,chairman,NN
도전,challenge,NN
혼돈,chaos,NN
인격,character,NN
특유한,characteristic,JJ
요금,charge,NN
자비,charity,NN
매력,charm,NN
쫓다,chase,NN
잡담,chat,NN
볼,cheek,NN
갈채,cheer,NN
쿡,chef,NN
화학의,chemical,NN
화학,chemistry,NN
가슴팍,chest,NN
씹다,chew,NN
우두머리,chief,NN
차가움,chill,NN
턱(끝) 턱에 대다,chin,NN
(나무)토막,chip,NN
(교회의)성가대,choir,NN
(도끼 등으로)자르다,chop,NN
합창,chorus,NN
궐련,cigarette,NN
순환하다,circulate,NN
환경,circumstance,NN
인용하다(quote),cite,NN
시민,citizen,NN
시민의,civil,JJ
요구하다,claim,NN
짝짝,clap,NN
맑게 하다,clarify,NN
충돌하다,clash,NN
고전의,classic,JJ
분류하다,classify,NN
조항,clause,NN
찰흙,clay,NN
소송의뢰인,client,NN
절벽,cliff,NN
기후,climate,NN
밀착하다,cling,VBG
병원,clinic,NN
단서,clue,NN
떼,cluster,NN
역마차,coach,NN
석탄,coal,NN
연안,coast,NN
법전,code,NN
일치하다,coincide,NN
공동으로 일하다,collaborate,NN
붕괴,collapse,NN
칼라,collar,NN
동료,colleague,NN
식민지,colony,NN
(신문 등의)난,column,NN
격투하다,combat,NN
결합하다,combine,NN
위안,comfort,NN
명령하다,command,NN
논평,comment,NN
상업,commerce,NN
위임,commission,NN
위탁하다,commit,NN
위원회,committee,NN
알리다,communicate,NN
공산주의자,communist,NN
공동생활체,community,NN
동료,companion,NN
비교하다,compare,NN
경쟁하다,compete,NN
능력있는,competent,NN
불평하다,complain,NN
보완하는 것,complement,NN
완성하다,complete,JJ
합성물,complex,JJ
복잡하게 하다,complicate,NN
구성하다,compose,NN
이해력있는,comprehensive,NN
숨기다,conceal,NN
집중하다,concentrate,NN
개념,concept,NN
관계하다,concern,NN
결정하다,conclude,NN
구체적인 응고물,concrete,NN
행위 이끌다,conduct,NN
실토하다,confess,NN
확신하는,confident,NN
국경,confine,NN
확인하다,confirm,NN
투쟁,conflict,NN
일치시키다,conform,NN
직면하다,confront,NN
혼란시키다,confuse,NN
회의,congress,NN
잇다 이어지다,connect,NN
양심,conscience,NN
의식적인,conscious,JJ
숙고하다,consider,VB
-으로 이루어지다,consist,NN
시종일관한,consistent,NN
불변의,constant,JJ
건조하다,construct,NN
상의하다,consult,NN
소비하다,consume,NN
접촉,contact,NN
내포하다,contain,NN
만족하여,content,NN
문맥,context,NN
자제심이 있는,continent,NN
계속하다,continue,NN
계약,contract,NN
반대의 반대 거꾸로,contrary,JJ
대조,contrast,NN
기부하다,contribute,NN
논쟁,controversy,NN
편리한,convenient,NN
회화,conversation,NN
나르다,convey,NN
유죄로 판결하다 죄수,convict,NN
확신시키다,convince,NN
협동하다,cooperate,NN
순경,cop,NN
코우프(성직자의 긴 겉옷),cope,NN
판권,copyright,NN
밧줄,cord,NN
핵심,core,NN
티눈,corn,NN
법인조직의,corporate,JJ
옳은,correct,NN
일치하다,correspond,NN
타락한,corrupt,NN
복장,costume,NN
시골집,cottage,NN
침대,couch,NN
기침 기침을 하다 기침을 하여 -을 뱉어내다,cough,NN
회의,council,NN
의논,counsel,NN
계산,count,NN
계산하는 사람,counter,NN
용기,courage,NN
목동,cowboy,NN
찰싹 소리내다 금가다 날카로운소리,crack,NN
솜씨,craft,NN
도산,crash,NN
네발로 기다,crawl,NN
창조하다,create,NN
창조물,creature,NN
믿을 수 있는,credible,JJ
신용,credit,NN
승무원,crew,NN
크리켓,cricket,NN
범죄,crime,NN
죄의,criminal,JJ
위기,crisis,NN
파삭파삭한,crisp,NN
비평가,critic,NN
비평하다,criticize,VB
비평,criticism,NN
수확,crop,NN
결정적인,crucial,JJ
잔인한,cruel,NN
순항하다,cruise,NN
눌러 부수다,crush,NN
수정,crystal,NN
경작하다,cultivate,NN
찬장,cupboard,NN
치료,cure,NN
곱슬머리 머리털을 지지다,curl,NN
유행의,current,JJ
카레요리 카레로 맛을 내다,curry,NN
곡선,curve,NN
습관,custom,NN
낙농장,dairy,NN
댐,dam,NN
손해,damage,NN
축축한 습기 적시다,damp,NN
au감히 -하다,dare,NN
귀여운,darling,VBG
돌진,dash,NN
데이터베이스,database,NN
새벽 날이 새다,dawn,NN
양,deal,NN
토론 토론하다,debate,NN
빚,debt,NN
10년간,decade,NN
쇠퇴하다,decay,NN
결정,decision,NN
갑판,deck,NN
선언하다,declare,NN
기울다,decline,NN
장식하다,decorate,NN
감소하다,decrease,NN
패배,defeat,NN
방어,defense,NN
방어하다,defend,NN
피고 피고의,defendant,NN
정의하다,define,NN
일정한,definite,NN
도,degree,NN
늦추다,delay,NN
삭제하다,delete,NN
미묘한,delicate,NN
즐겁게하다 즐거워하다,delight,NN
인도하다,deliver,NN
요구하다,demand,NN
민주주의,democracy,NN
민주주의자,democrat,NN
악마,demon,NN
증명하다,demonstrate,NN
짙은,dense,NN
부정하다,deny,NN
부,department,NN
출발,departure,NN
좌우되다,depend,NN
종속,dependence,NN
억압하다,depress,NN
이끌어 내다,derive,NN
내려오다,descend,NN
기술하다,describe,NN
서술,description,NN
버리다,desert,NN
 -할 만하다,deserve,NN
바라다,desire,NN
절망하다,despair,NN
절망적인,desperate,NN
-에도 불구하고 모욕,despite,IN
목적지,destination,NN
운명,destiny,NN
파괴하다,destroy,NN
파괴,destruction,NN
분리하다,detach,NN
상설,detail,NN
간파하다,detect,NN
결정하다,determine,NN
발달하다,develop,VB
고안,device,NN
악마,devil,NN
고안하다,devise,NN
바치다,devote,NN
사전,dictionary,JJ
파다,dig,NN
감소하다,diminish,NN
담그다,dip,NN
외교관,diplomat,NN
지도하다,direct,JJ
불구가 된,disabled,JJ
불리,disadvantage,NN
일치하지 않다,disagree,NN
안보이게 되다,disappear,NN
실망시키다,disappoint,NN
천재,disaster,NN
훈련,discipline,NN
나타내다,disclose,VB
할인,discount,NN
발견하다,discover,NN
병,disease,NN
불쾌하게 하다,disgust,NN
떠나게 하다,dismiss,NN
난잡,disorder,NN
보이다,display,NN
배열하다,dispose,NN
떨어진,distant,NN
전환시키다,distract,NN
분배하다,distribute,NN
지구,district,NN
교란하다,disturb,NN
뛰어들다,dive,NN
다양한,diverse,NN
이혼,divorce,NN
서류,document,NN
영토,domain,NN
가정의,domestic,JJ
증여하다,donate,NN
점,dot,NN
의심,doubt,NN
1다스,dozen,NN
끌다,drag,NN
제도사,drawer,NN
물에빠뜨리다,drown,NN
약제,drug,NN
지급기일이 된,due,JJ
둔한,dull,NN
내버리다,dump,NN
먼지,dust,NN
의무,duty,NN
거주하다,dwell,NN
동적인,dynamic,JJ
각각의,each,DT
열심인,eager,NN
일하여 벌다,earn,NN
안락,ease,NN
절약,economy,NN
끝머리,edge,NN
편집하다,edit,NN
교육하다,educate,NN
결과,effect,NN
효과적인,effective,JJ
능률적인,efficient,NN
노력,effort,NN
어느 하나의,either,DT
선거하다,elect,NN
전기의,electric,JJ
전자(학)의,electronic,JJ
우아한,elegant,NN
요소,element,NN
제거하다,eliminate,NN
그 밖에,else,RB
난처하게 하다,embarrass,NN
대사관,embassy,NN
나오다,emerge,NN
비상사태,emergency,NN
감정,emotion,NN
강조,emphasis,NN
제국,empire,NN
고용하다,employ,NN
빈,empty,JJ
에워싸다,enclose,VB
조우,encounter,NN
용기를 돋우다,encourage,NN
견디다,endure,NN
적,enemy,NN
약속하다,engage,NN
향상하다,enhance,NN
거대한,enormous,JJ
-을 책임지다,ensure,VB
기획,enterprise,NN
즐겁게 하다,entertain,NN
열심인,enthusiastic,JJ
전체의,entire,JJ
들어감,entry,NN
봉투,envelope,NN
환경,environment,NN
질투,envy,NN
삽화,episode,NN
같은,equal,JJ
장비,equipment,NN
시대,era,NN
도망하다,escape,NN
호위하다,escort,NN
특히,especially,RB
본질적인,essential,JJ
확립하다,establish,VB
어림잡다,estimate,NN
등등,etc,NN
평가하다,evaluate,NN
"저녁, 밤",eve,NN
-조차,even,RB
결국,eventually,RB
이전에,ever,RB
명백한,evident,NN
사악한,evil,NN
진화,evolution,NN
진화하다,evolve,NN
정확한,exact,NN
과장하다,exaggerate,NN
시험하다,examine,NN
넘다,exceed,NN
우수한,excellent,NN
-을 제외하고는 제외하다,except,IN
초과,excess,NN
교환하다,exchange,NN
흥분시키다,excite,NN
배척하다,exclude,NN
변명,excuse,NN
다 써버리다,exhaust,NN
보이다,exhibit,NN
존재하다,exist,NN
외국의,exotic,JJ
펴다,expand,NN
기대하다,expect,VB
지출,expense,NN
비용이 드는,expensive,JJ
경험,experience,NN
실험,experiment,NN
숙련가,expert,NN
설명하다,explain,NN
폭발시키다,explode,NN
탐험하다,explore,NN
수출하다 수출,export,NN
"쐬다, 드러내다, 맞히다",expose,VB
발표하다,express,NN
뻗다,extend,NN
넓이,extent,NN
외부의,external,JJ
꺼진,extinct,NN
가외의,extra,JJ
극단의,extreme,NN
눈썹,eyebrow,NN
천,fabric,NN
쉬움,facility,NN
요소,factor,NN
바래다,fade,NN
기절하다,faint,NN
공평한,fair,NN
신용,faith,NN
거짓,false,JJ
명성,fame,NN
친한,familiar,JJ
공상,fancy,NN
요금,fare,NN
황홀케 하다,fascinate,NN
단단히 고정시키다,fasten,NNS
숙명,fate,NN
결점,fault,NN
호의,favor,NN
두려움,fear,NN
얼굴의 생김새,feature,NN
요금,fee,NN
음식(먹이)을 주다,feed,NN
동무,fellow,NN
여성,female,NN
나루터,ferry,NN
소수의,few,JJ
섬유,fiber,NN
흉포한,fierce,NN
모습,figure,NN
여과기 여과하다,filter,NN
최후의,final,JJ
재정,finance,NN
한정되어 있는,finite,NN
굳은,firm,NN
주먹,fist,NN
맞는,fit,NN
불꽃,flame,NN
번쩍임,flash,NN
편평한,flat,JJ
(독특한)맛,flavor,NN
금,flaw,NN
살,flesh,NN
구부리기 쉬운,flexible,JJ
날기,flight,NN
뜨다,float,NN
무리,flock,NN
홍수,flood,NN
번창하다,flourish,JJ
흐르다,flow,NN
주름,fold,NN
사람들,folk,NN
쫓다,follow,VB
금하다,forbid,NN
힘,force,NN
예상,forecast,NN
이마,forehead,NN
외국의,foreign,JJ
용서하다,forgive,JJ
형식상의,formal,JJ
(서적의)체제,format,NN
형성,formation,NN
이전의,former,JJ
앞으로,forth,NN
운좋은,fortunate,NN
운,fortune,NN
공개토론회,forum,NN
앞쪽에,forward,RB
기초,foundation,NN
샘,fountain,NN
구조,frame,NN
뼈대,framework,NN
솔직히,frankly,RB
얼다,freeze,NN
빈번한,frequent,NN
(갑자기 엄습하는)공포,fright,NN
눈살을 찌푸리다,frown,NN
(계획 등을)좌절시키다,frustrate,NN
연료,fuel,NN
이행하다,fulfil,NN
기능,function,NN
기금,fund,NN
기초(기준)의,fundamental,JJ
장사,funeral,JJ
모피,fur,NN
가구,furniture,NN
더우기,furthermore,RB
얻다,gain,NN
도박하다 도박 도박해서 잃다,gamble,NN
한 떼,gang,NN
갈라진 틈,gap,NN
차고,garage,NN
그러모으다,gather,NN
톱니바퀴,gear,NN
성,gender,NN
유전(인)자,gene,NN
일반적인,general,JJ
일대,generation,NN
광대한,generous,JJ
천재,genius,NN
유형,genre,NN
온화한,gentle,NN
진짜의,genuine,NN
지리,geography,NN
지질학,geology,NN
흘긋 봄,glance,NN
공모양의,global,JJ
영광,glory,NN
타다,glow,NN
염소,goat,NN
상품,goods,NNS
호화로운,gorgeous,JJ
다스리다,govern,NN
붙잡다(=snatch),grab,NN
은총,grace,NN
등급,grade,NN
점차적인,gradual,JJ
학위를 수여하다,graduate,NN
곡물,grain,NN
위대한,grand,JJ
받아들이다,grant,NN
그려 놓은 듯한,graphic,JJ
고맙게 생각하는,grateful,NN
무덤,grave,NN
탐욕,greed,NN
인사하다,greet,NN
심한 슬픔(deep sorrow),grief,NN
잡기,grip,NN
식품잡화류,grocery,NN
보증하다,guarantee,NN
손님,guest,NN
지침,guideline,NN
죄지은,guilty,JJ
총,gun,NN
실내체조장,gymnasium,NN
반,half,NN
회관,hall,NN
망치,hammer,NN
불리한 조건,handicap,NN
손잡이,handle,NN
(사건 등이)일어나다,happen,VB
항구,harbor,NN
거의 -아니다,hardly,RB
해,harm,NN
거친,harsh,NN
수확,harvest,NN
급함,haste,NN
위험,hazard,NN
고치다,heal,NN
건강,health,NN
듣다,hear,NN
발뒤꿈치,heel,NN
높이,height,NN
지옥,hell,NN
주저하다,hesitate,NN
감추다,hide,NN
대도,highway,NN
엉덩이,hip,NN
고용하다,hire,NN
구멍,hole,NN
신성한,holy,NN
명예,honor,NN
지평선,horizon,NN
공포,horror,NN
"주인, 집주인 노릇, 호스트",host,NN
가족,household,NN
꼭 껴안다,hug,NN
거대한,huge,JJ
상처내다,hurt,NN
오두막,hut,NN
이상,ideal,NN
아주 동일한,identical,JJ
동일시하다,identify,VB
무시하다,ignore,NN
병든,ill,NN
설명하다,illustrate,NN
상상하다,imagine,NN
흉내내다,imitate,NN
직접의,immediate,NN
면역성의,immune,NN
충격,impact,NN
제국의,imperial,JJ
수입하다,import,NN
인상지우다,impress,NN
개선하다,improve,VB
자극적인,incentive,NN
사건,incident,NN
포함하다,include,NN
수입,income,NN
늘다,increase,NN
믿을 수 없는,incredible,JJ
참으로,indeed,RB
독립한,independent,JJ
지적하다,indicate,NN
개인,individual,JJ
공업,industry,NN
유아,infant,NN
영향력,influence,NN
알리다,inform,NN
비공식의,informal,JJ
성분,ingredient,NN
살다,inhabit,NN
처음의,initial,JJ
시작하다,initiate,NN
주사하다,inject,NN
해치다,injure,NN
여인숙,inn,NN
무구한,innocent,NN
새롭게 하다,innovate,NN
투입,input,NN
곤충,insect,NN
끼워넣다,insert,NN
통찰(력),insight,NN
주장하다,insist,NN
검사하다,inspect,NN
영감을 주다,inspire,NN
설치하다,install,NN
실례,instance,NN
즉시의,instant,NN
그 대신에,instead,RB
본능,instinct,NN
만들다,institute,NN
가르치다,instruct,NN
기구,instrument,NN
모욕하다,insult,NN
보증하다,insure,NN
지적인,intellectual,JJ
지적인,intelligent,NN
-할 작정이다,intend,NN
강렬한,intense,NN
의향,intent,NN
서로 작용하다,interact,NN
흥미,interest,NN
간섭하다,interfere,RB
중간의 중간물,intermediate,NN
내부의,internal,JJ
국제적인,international,JJ
해석하다,interpret,NN
훼방놓다,interrupt,NN
간격,interval,NN
친밀한,intimate,NN
침입하다,invade,NN
발명하다,invent,NN
투자하다,invest,NN
조사하다,investigate,NN
말아넣다,involve,NN
쇠,iron,NN
반어,irony,NN
노하게 하다,irritate,NN
섬,island,NN
고립시키다,isolate,NN
조항,item,NN
교도소,jail,NN
(아가리가 넓은)항아리,jar,NN
턱,jaw,NN
(가스등의)분출,jet,NN
살짝 밀다 덜커덕 움직이다 고르지 않음,jog,NN
이음매,joint,NN
농담,joke,NN
일간신문,journal,NN
여행,journey,NN
재판관,judge,NN
손아래사람,junior,NN
배심,jury,NN
정의,justice,NN
옳다고 하다,justify,NN
연장통,kit,NN
무릎,knee,NN
(중세의)기사,knight,NN
치다,knock,NN
라벨,label,NN
노동,labor,NN
실험실,laboratory,NN
결핍,lack,NN
사닥다리,ladder,NN
어린 양,lamb,NN
등,lamp,NN
풍경,landscape,NN
좁은길,lane,NN
언어,language,NN
무릎,lap,NN
뒤쪽의,latter,NN
(소리내어)웃다,laugh,NN
진수시키다,launch,NN
세탁물,laundry,NN
법률,law,NN
잔디밭,lawn,NN
법률가,lawyer,NN
눕히다,lay,NN
층,layer,NN
이끌다,lead,NN
샘,leak,NN
기대다,lean,NN
껑충 뛰다,leap,NN
무두질한 가죽,leather,NN
남기고가다,leave,VB
강의,lecture,NN
법률상의,legal,JJ
전설,legend,NN
틈,leisure,NN
빌리다,lend,NN
시키다,let,VB
수평의,level,NN
자유주의의,liberal,JJ
자유,liberty,NN
면허,license,NN
뚜껑,lid,NN
끌어올리다,lift,NN
있을 법한,likely,JJ
"같이, 마찬가지로",likewise,RB
한계,limit,NN
말의,linguistic,JJ
사슬의 고리,link,NN
액체,liquid,NN
일람표,list,NN
문학,literature,NN
짐,load,NN
대부,loan,NN
장소의,local,JJ
관청 등을 두다,locate,NN
자물쇠,lock,NN
통나무,log,NN
논리학,logic,NN
풀어진,loose,JJ
잃다,lose,VB
잃음,loss,NN
제비,lot,NN
시끄러운,loud,NN
빈둥거리다,lounge,NN
충성스러운,loyal,NN
사치,luxury,NN
기계,machine,NN
잡지,magazine,NN
자석,magnet,NN
주요한,main,JJ
계속하다,maintain,NN
큰쪽의,major,JJ
대다수,majority,NN
남성의,male,NN
관리하다,manage,NN
방법,manner,NN
제조하다,manufacture,NN
가장자리,margin,NN
바다의,marine,NN
표,mark,NN
경이,marvel,NN
덩어리,mass,NN
장,master,NN
성냥,match,NN
상대,mate,NN
원료,material,NN
물질,matter,NN
익은,mature,NN
최고점,maximum,NN
아마,maybe,RB
시장,mayor,NN
식사,meal,NN
의미하다,mean,NN
그동안 그 사이에,meantime,NN
재다,measure,NN
직공,mechanic,NN
(기계)장치,mechanism,NN
중재하다,mediate,NN
의학의,medical,JJ
약,medicine,NN
중간,medium,NN
녹다,melt,NN
마음의,mental,NN
말하다,mention,NN
상인,merchant,NN
장점,merit,NN
혼란,mess,NN
금속,metal,NN
방법,method,NN
확성기,microphone,NN
극초단파 전자레인지로 요리하다,microwave,NN
온후한,mild,NN
군의,military,JJ
멧돌,mill,NN
백만,million,CD
광산업자,miner,NN
광물,mineral,NN
최소(한도)의,minimal,NN
최소 한도,minimum,NN
장관(목사)의 직(소임),ministry,NN
작은 편의,minor,NN
분,minute,NN
기적,miracle,NN
미사일,missile,NN
사명,mission,NN
틀리다,mistake,NN
섞다,mix,NN
움직이기 쉬운,mobile,NN
방법,mode,NN
현대의,modern,JJ
습기,moisture,NN
순간,moment,NN
충고자,monitor,NN
괴물,monster,NN
(일시적인)기분,mood,NN
도덕의,moral,JJ
그 위에,moreover,NN
운동,motion,NN
동기,motive,NN
산,mount,NN
진흙,mud,NN
복합의,multiple,NN
늘리다,multiply,NN
살인,murder,NN
근육,muscle,NN
버섯,mushroom,NN
신화,myth,NN
손톱,nail,NN
발가벗은,naked,JJ
이야기하다,narrate,NN
좁은,narrow,NN
타고난,native,JJ
해군(력),navy,NNS
산뜻한,neat,NN
필요한,necessary,JJ
바늘 바늘로 꿰매다 바느질하다 아슬아슬한,needle,NN
부정적인,negative,JJ
게을리 하다,neglect,NN
교섭하다,negotiate,NN
이웃사람(나라),neighbor,NN
(둘중)어느쪽도 -아니다 -도 아니다,neither,DT
조카,nephew,NN
신경의,nervous,JJ
보금자리,nest,JJS
그물,net,NN
그물세공,network,NN
중립의,neutral,JJ
그럼에도 불구하고,nevertheless,RB
악몽,nightmare,NN
고귀한,noble,JJ
아무도 -않다 하찮은 사람,nobody,NN
끄덕이다,nod,NN
소리,noise,NN
아무도(조금도)-않다 조금도(결코)-않다,none,NN
허튼 소리,nonsense,NN
-도 또한-않다,nor,CC
표준(의),normal,JJ
"통지, 통보",notice,NN
소설,novel,NN
"오늘날에는, 요즈음에는",nowadays,NNS
아무데도 …없다,nowhere,RB
"핵의, 핵을 형성하는 원자핵의",nuclear,JJ
견과,nut,NN
참나무,oak,NN
따르다,obey,NN
사물,object,NN
객관적인,objective,NN
관찰하다,observe,NN
얻다,obtain,VB
명백한,obvious,JJ
경우,occasion,NN
일직업,occupation,NN
차지하다,occupy,NN
일어나다,occur,NN
묘한,odd,NN
성나게 하다,offend,NN
권하다,offer,NN
공무원,officer,NN
공무원,official,NN
올리브나무,olive,JJ
한번,once,RB
움직이다,operate,NN
의견,opinion,NN
기회,opportunity,NN
반대하다,oppose,NN
낙천가,optimist,NN
선택(권의 자유),option,NN
구두의,oral,JJ
관현악단,orchestra,NN
순서,order,NN
보통의,ordinary,JJ
(생물의)기관,organ,NN
유기체의,organic,JJ
조직하다,organize,VB
동양 동양의 동쪽으로 향하게 하다,orient,NN
기원,origin,NN
다른 다른 것 그렇지 않고,other,JJ
딴 방법으로는,otherwise,RB
au해야만 하다,ought,MD
결과,outcome,NN
윤곽,outline,NN
산출,output,NN
눈에 띄는,outstanding,JJ
포괄(전면)적인 덧옷,overall,JJ
이기다,overcome,NN
머리위에 머리 위의,overhead,NN
겹치다,overlap,NN
내려다 보다,overlook,NN
전날밤의,overnight,NN
해외(로부터)의,oversea,NN
지불할 의무가 있다,owe,NN
자기자신의 소유하다,own,JJ
한걸음,pace,NN
꾸러미,pack,NN
다발,packet,NN
(및에)덧대는 것,pad,NN
고통,pain,NN
한쌍,pair,NN
창백한,pale,NN
손바닥,palm,NN
남비 사금 등을 남비로 가려내다,pan,NN
돌연한공포,panic,NN
(문장의)절,paragraph,NN
용서하다 용서,pardon,NN
참가하다,participate,VB
특수한,particular,JJ
"통행, 통과",passage,NN
승객,passenger,NN
정열,passion,NN
여권,passport,NN
과거,past,NN
작은 길,path,NN
인내심이 강한 환자,patient,NN
모범,pattern,NN
중지,pause,NN
(뾰족한)끝,peak,NN
껍질을 벗기다 벗어지다 껍질,peel,NN
동료,peer,NN
벌,penalty,NN
고추,pepper,NN
-에 의하여,per,IN
지각하다,perceive,NN
완전한,perfect,NN
다하다,perform,NN
아마,perhaps,RB
시간,period,NN
영구의,permanent,NN
허가하다,permit,NN
사람,person,NN
개성,personality,NN
설득하다,persuade,NN
애완동물,pet,NN
현상,phenomenon,NN
철학,philosophy,NN
사진 촬영하다,photograph,NN
구,phrase,NN
물질의,physical,JJ
물리학,physics,NNS
한 조각,piece,NN
쌓아 올린 것,pile,NN
알약,pill,NN
핀 핀으로 꽂다,pin,NN
소나무 수척해 지다,pine,NN
개척자,pioneer,NN
불쌍히 여김,pity,NN
분명한,plain,NN
행성,planet,NN
실물,plant,NN
판,plate,NN
단,platform,NN
기분 좋은,pleasant,NN
즐거움,pleasure,NN
많음,plenty,NN
음모,plot,NN
